id,name,description,industry,location,founded_date,stage,employee_count,website,business_model,revenue_model,status
startup_27,InfiniteBase,Balanced 6thgeneration productivity leverage user-centric e-commerce,PropTech,New York,2016-08-04,Series C,261,https://infinitebase.com,B2B2C,SaaS,Active
startup_28,Jones-Williamson,Team-oriented maximized interface cultivate e-business channels,PropTech,Washington DC,2013-04-15,Series C,242,https://jones-williamson.com,B2B,Transaction,Active
startup_29,SecurePlatform,Multi-channeled transitional ability streamline web-enabled action-items,FoodTech,Washington DC,2019-05-08,Seed,402,https://secureplatform.com,B2B2C,SaaS,Active
startup_30,CloudNetwork,Self-enabling dynamic strategy deploy leading-edge platforms,AI/ML,Nashville,2024-11-07,Series B,411,https://cloudnetwork.com,Platform,SaaS,Closed
startup_31,Reese PLC,Programmable interactive budgetary management transform rich deliverables,SaaS,Los Angeles,2024-01-31,Pre-seed,395,https://reeseplc.com,B2C,Transaction,IPO
startup_32,CloudSystems,Polarized optimal knowledgebase utilize global info-mediaries,InsurTech,Miami,2020-09-27,Pre-seed,227,https://cloudsystems.com,B2B,SaaS,Active
startup_33,DigitalAnalytics,Innovative interactive groupware leverage open-source applications,EdTech,Denver,2011-06-12,Series B,114,https://digitalanalytics.com,Marketplace,Transaction,Active
startup_34,CloudHub,Optional 3rdgeneration hardware disintermediate scalable e-services,AI/ML,Chicago,2012-03-08,Series A,301,https://cloudhub.com,B2B2C,SaaS,Active
startup_35,"Ware, Alvarez and Reid",Reverse-engineered well-modulated Internet solution orchestrate plug-and-play functionalities,AgriTech,Portland,2023-08-11,Series A,92,"https://ware,alvarezandreid.com",Marketplace,Commission,Active
startup_36,Coffey-Lee,Public-key solution-oriented product benchmark clicks-and-mortar initiatives,PropTech,Portland,2016-12-24,Pre-seed,457,https://coffey-lee.com,Marketplace,Transaction,Active
startup_37,"Hall, Griffin and Sanchez",Down-sized bottom-line collaboration benchmark cutting-edge communities,Gaming,Nashville,2016-01-24,Series C,497,"https://hall,griffinandsanchez.com",B2B,Advertising,Active
startup_38,CyberSolutions,Reactive incremental project optimize vertical web-readiness,IoT,Phoenix,2019-08-10,Series B,338,https://cybersolutions.com,B2C,Freemium,Active
startup_39,Smith,Seamless uniform capability e-enable one-to-one web services,CleanTech,Philadelphia,2024-10-14,Seed,64,https://smith.com,Marketplace,SaaS,Active
startup_40,Cochran,Centralized actuating moderator evolve ubiquitous models,CleanTech,Chicago,2014-01-23,Series A,114,https://cochran.com,B2B,Commission,Active
startup_41,Kim-Clark,Integrated exuding throughput synthesize back-end metrics,PropTech,Atlanta,2019-06-23,Pre-seed,287,https://kim-clark.com,Marketplace,Advertising,Active
startup_42,Hale,Configurable systemic analyzer monetize clicks-and-mortar technologies,PropTech,Miami,2013-08-31,Series B,291,https://hale.com,B2C,SaaS,Active
startup_43,"Hammond, Stokes and Williams",Robust leadingedge algorithm drive interactive applications,FoodTech,Chicago,2019-12-11,Series B,301,"https://hammond,stokesandwilliams.com",B2B2C,Advertising,Active
startup_44,Schneider,Upgradable client-server moderator innovate strategic info-mediaries,EdTech,Chicago,2024-04-29,Series B,71,https://schneider.com,B2B2C,Transaction,Active
startup_45,"Tucker, Lewis and Pacheco",Reverse-engineered value-added groupware e-enable rich interfaces,FinTech,Phoenix,2020-03-01,Series A,310,"https://tucker,lewisandpacheco.com",B2B,Transaction,Active
startup_46,Reilly-Lee,Focused non-volatile migration redefine robust paradigms,CleanTech,Dallas,2020-06-04,Series C,40,https://reilly-lee.com,Marketplace,Freemium,Active
startup_47,DigitalCore,Ergonomic client-server parallelism harness out-of-the-box users,HealthTech,San Francisco,2014-04-01,Series A,11,https://digitalcore.com,B2B2C,Advertising,Active
startup_48,Gibson-Pruitt,Focused explicit structure seize 24/7 models,CleanTech,Chicago,2014-01-27,Series B,3,https://gibson-pruitt.com,B2C,Advertising,Active
startup_49,QuantumLabs,Configurable multi-tasking framework enhance clicks-and-mortar partnerships,Gaming,Boston,2010-11-14,Growth,68,https://quantumlabs.com,B2B2C,Transaction,Active
startup_50,SecureHub,Inverse 3rdgeneration open architecture iterate open-source schemas,InsurTech,Washington DC,2021-08-24,Series C,394,https://securehub.com,B2B2C,Transaction,Active
startup_51,QuantumHub,Multi-layered background moderator envisioneer bricks-and-clicks schemas,Blockchain,Chicago,2012-02-23,Series C,62,https://quantumhub.com,B2B2C,Freemium,Active
startup_52,CloudPlatform,Intuitive disintermediate moratorium morph compelling applications,CleanTech,Washington DC,2022-02-23,Series B,306,https://cloudplatform.com,B2C,Advertising,Active
startup_53,FusionNetwork,Innovative human-resource time-frame implement holistic e-markets,InsurTech,Phoenix,2015-07-27,Series A,482,https://fusionnetwork.com,B2C,Transaction,Active
startup_54,MetaLabs,Virtual next generation migration innovate distributed infrastructures,Cybersecurity,Philadelphia,2022-04-05,Growth,493,https://metalabs.com,Marketplace,Commission,Active
startup_55,Nelson-Beard,Pre-emptive high-level parallelism productize mission-critical technologies,AI/ML,Nashville,2025-05-14,Growth,310,https://nelson-beard.com,Platform,SaaS,Active
startup_56,SecureAnalytics,Object-based object-oriented application integrate integrated channels,LegalTech,Portland,2018-07-07,Seed,193,https://secureanalytics.com,B2B2C,SaaS,Closed
startup_57,SmartNetwork,Proactive bandwidth-monitored intranet seize user-centric infrastructures,CleanTech,Atlanta,2017-11-13,Seed,396,https://smartnetwork.com,B2B,Advertising,Active
startup_58,QuantumLogic,Persevering intermediate encryption repurpose transparent web services,AgriTech,San Francisco,2022-08-07,Series A,24,https://quantumlogic.com,Marketplace,Commission,Active
startup_59,RapidSystems,Inverse cohesive project syndicate cross-media web services,LegalTech,Seattle,2017-05-27,Series C,424,https://rapidsystems.com,Marketplace,Advertising,Active
startup_60,"Smith, Cook and Wright",Object-based upward-trending array utilize collaborative solutions,AI/ML,Philadelphia,2019-03-03,Series A,52,"https://smith,cookandwright.com",Marketplace,Transaction,Active
startup_61,GlobalBase,Upgradable full-range data-warehouse reinvent magnetic e-markets,IoT,Denver,2012-11-01,Series B,365,https://globalbase.com,B2B,SaaS,Active
startup_62,Rivas-Taylor,Secured bottom-line approach whiteboard killer e-commerce,IoT,Atlanta,2019-04-13,Series B,245,https://rivas-taylor.com,B2B,Transaction,Active
startup_63,QuantumFlow,Synergized methodical model matrix magnetic channels,LegalTech,Philadelphia,2013-12-26,Seed,420,https://quantumflow.com,Platform,Advertising,Active
startup_64,Reynolds-Santiago,Customizable zero-defect solution strategize e-business supply-chains,E-commerce,San Diego,2018-10-23,Series B,79,https://reynolds-santiago.com,B2B2C,Freemium,Active
startup_65,DigitalCore,Focused high-level frame productize B2C interfaces,SaaS,Atlanta,2020-07-24,Series C,276,https://digitalcore.com,Platform,Freemium,Active
startup_66,SecureFlow,Up-sized well-modulated access orchestrate collaborative e-markets,HealthTech,Dallas,2025-05-17,Series A,417,https://secureflow.com,Platform,Transaction,Active
startup_67,"Wright, Jones and Johnson",Expanded stable challenge grow cross-platform solutions,HRTech,Los Angeles,2023-02-05,Growth,235,"https://wright,jonesandjohnson.com",B2B,Commission,Active
startup_68,"Daniels, Stephens and Myers",Stand-alone fresh-thinking product deliver turn-key relationships,InsurTech,New York,2022-09-27,Series A,194,"https://daniels,stephensandmyers.com",Marketplace,Freemium,Closed
startup_69,Brown-Castro,Switchable grid-enabled customer loyalty seize collaborative e-tailers,Cybersecurity,Dallas,2019-03-10,Series B,389,https://brown-castro.com,Platform,Commission,Active
startup_70,Cruz-Morgan,Enterprise-wide didactic Graphical User Interface e-enable integrated partnerships,FinTech,Boston,2012-12-05,Series B,207,https://cruz-morgan.com,B2C,Commission,Active
startup_71,Hicks-Ortiz,Sharable grid-enabled implementation leverage global vortals,AI/ML,Washington DC,2023-11-21,Growth,47,https://hicks-ortiz.com,Platform,SaaS,Active
startup_72,DigitalLabs,Synergized empowering hardware synergize wireless communities,E-commerce,Miami,2015-03-08,Series C,204,https://digitallabs.com,Marketplace,Transaction,Active
startup_73,"Mooney, Brooks and Peterson",Expanded systematic service-desk e-enable viral supply-chains,LegalTech,Philadelphia,2014-09-20,Series C,233,"https://mooney,brooksandpeterson.com",Platform,Freemium,Active
startup_74,QuantumFlow,Synergistic background focus group generate plug-and-play architectures,Blockchain,Phoenix,2018-05-01,Growth,463,https://quantumflow.com,B2B,Advertising,Acquired
startup_75,MetaEngine,Reduced transitional extranet reinvent revolutionary web services,EdTech,Washington DC,2017-05-03,Series C,361,https://metaengine.com,Marketplace,Freemium,Active
startup_76,MetaAnalytics,Extended demand-driven Graphic Interface orchestrate value-added web services,HealthTech,Los Angeles,2010-07-28,Growth,280,https://metaanalytics.com,B2C,Advertising,Active
startup_77,ApexNetwork,Horizontal leadingedge database syndicate dot-com info-mediaries,AI/ML,San Diego,2011-11-25,Seed,493,https://apexnetwork.com,B2B,Freemium,IPO
startup_78,FusionLabs,Object-based 24hour customer loyalty extend impactful deliverables,InsurTech,New York,2014-07-30,Series A,161,https://fusionlabs.com,Marketplace,SaaS,Active
startup_79,SecureDynamics,Right-sized multi-tasking customer loyalty transform impactful mindshare,PropTech,Miami,2023-12-28,Series C,83,https://securedynamics.com,B2B,Transaction,Active
startup_80,MetaSystems,Front-line logistical core enable 24/7 solutions,FoodTech,Seattle,2017-10-12,Growth,144,https://metasystems.com,B2B2C,Freemium,Active
startup_81,ApexCore,Down-sized contextually-based matrix incubate rich schemas,SaaS,Atlanta,2023-01-30,Series A,64,https://apexcore.com,Marketplace,Advertising,Active
startup_82,Green,Advanced attitude-oriented encoding engage integrated initiatives,Gaming,Chicago,2014-11-30,Pre-seed,36,https://green.com,Marketplace,SaaS,Active
startup_83,"Park, Roberts and Campbell",Public-key holistic concept extend compelling e-services,Blockchain,Portland,2019-06-15,Growth,3,"https://park,robertsandcampbell.com",B2C,Transaction,Active
startup_84,CloudSystems,Open-architected demand-driven parallelism synthesize cross-media communities,MarTech,Nashville,2013-04-13,Seed,238,https://cloudsystems.com,B2C,SaaS,Active
startup_85,"Jones, Rich and Pham",Multi-layered systematic process improvement scale 24/365 networks,Gaming,Nashville,2019-09-27,Pre-seed,440,"https://jones,richandpham.com",B2B2C,Commission,Active
startup_86,Berry,Business-focused user-facing process improvement target magnetic content,SaaS,Miami,2024-02-20,Pre-seed,340,https://berry.com,B2C,Transaction,Active
startup_87,CyberNetwork,Robust impactful knowledge user morph dot-com platforms,AgriTech,Nashville,2011-12-08,Series C,483,https://cybernetwork.com,Platform,Freemium,Active
startup_88,Clark-Gross,Synergistic motivating capability redefine revolutionary e-tailers,LegalTech,San Diego,2024-12-30,Series A,474,https://clark-gross.com,Platform,Advertising,Active
startup_89,SecureSolutions,Focused bottom-line pricing structure extend holistic paradigms,MarTech,San Francisco,2013-08-06,Series A,118,https://securesolutions.com,B2B,SaaS,Active
startup_90,SmartEngine,Ergonomic next generation contingency engage 24/365 convergence,MarTech,Washington DC,2022-08-24,Seed,118,https://smartengine.com,B2B,Transaction,Active
startup_91,SecureTechnologies,Multi-channeled clear-thinking matrices implement turn-key solutions,E-commerce,Chicago,2025-05-21,Series A,338,https://securetechnologies.com,Marketplace,Freemium,Active
startup_92,Miller-Bass,Fully-configurable homogeneous strategy monetize one-to-one niches,SaaS,Los Angeles,2018-02-18,Series C,168,https://miller-bass.com,B2B2C,Freemium,Active
startup_93,Thompson PLC,User-centric eco-centric hardware exploit integrated web services,HealthTech,Chicago,2013-09-18,Series C,205,https://thompsonplc.com,B2C,Freemium,Active
startup_94,"Miller, King and Johnson",Realigned radical knowledge user disintermediate efficient content,SaaS,Austin,2018-06-03,Series A,457,"https://miller,kingandjohnson.com",B2C,Freemium,Active
startup_95,CyberSolutions,Down-sized local methodology syndicate cross-media convergence,HealthTech,San Diego,2024-03-16,Series A,175,https://cybersolutions.com,Platform,SaaS,Active
startup_96,Peterson,Exclusive 24hour matrices engineer rich metrics,SaaS,Boston,2014-04-26,Series A,145,https://peterson.com,B2C,Freemium,Active
startup_97,Ross,Adaptive modular encoding brand dot-com relationships,E-commerce,Washington DC,2019-05-13,Series B,178,https://ross.com,Marketplace,Advertising,Closed
startup_98,PrimeSolutions,Right-sized object-oriented algorithm incentivize virtual architectures,Blockchain,Chicago,2024-08-06,Series B,71,https://primesolutions.com,B2C,Commission,Active
startup_99,NeuralPlatform,Re-engineered user-facing orchestration syndicate intuitive markets,Gaming,New York,2017-06-24,Growth,79,https://neuralplatform.com,B2B,Transaction,Active
startup_100,Gill,Cross-group content-based infrastructure unleash synergistic web services,HRTech,Portland,2021-09-10,Series B,75,https://gill.com,Platform,Commission,Active
startup_101,"Stevens, Gallagher and Campbell",Compatible incremental hierarchy unleash end-to-end portals,LegalTech,Philadelphia,2018-08-25,Series B,181,"https://stevens,gallagherandcampbell.com",Platform,SaaS,Active
startup_102,"Hudson, Harris and White",Synergistic attitude-oriented hardware scale bricks-and-clicks e-business,EdTech,Seattle,2011-05-22,Growth,69,"https://hudson,harrisandwhite.com",B2B,Transaction,Active
startup_103,VertexEngine,Ergonomic intermediate superstructure seize sticky technologies,Gaming,Portland,2021-12-20,Series A,146,https://vertexengine.com,Marketplace,Freemium,Acquired
startup_104,CyberTechnologies,Ergonomic clear-thinking protocol transform next-generation web services,CleanTech,Atlanta,2014-03-10,Series B,15,https://cybertechnologies.com,Platform,Freemium,Active
startup_105,"Velazquez, Lewis and Huff",Mandatory local hardware optimize revolutionary channels,Blockchain,Seattle,2021-06-14,Series C,437,"https://velazquez,lewisandhuff.com",Marketplace,Advertising,Active
startup_106,GlobalSolutions,Right-sized systemic application facilitate revolutionary schemas,FinTech,Boston,2023-04-30,Pre-seed,154,https://globalsolutions.com,Marketplace,Commission,Active
startup_107,DigitalCore,Virtual clear-thinking knowledge user transform visionary web services,CleanTech,Washington DC,2019-07-23,Pre-seed,494,https://digitalcore.com,B2B2C,Advertising,Active
startup_108,GlobalDynamics,Synergistic human-resource time-frame target frictionless e-tailers,FinTech,San Diego,2022-01-10,Pre-seed,251,https://globaldynamics.com,Marketplace,Freemium,Active
startup_109,PrimeCore,User-centric tertiary matrix seize B2C communities,FoodTech,New York,2019-04-04,Pre-seed,25,https://primecore.com,B2C,Transaction,Active
startup_110,QuantumSolutions,Open-architected asynchronous encoding leverage innovative vortals,HealthTech,Austin,2018-08-08,Growth,460,https://quantumsolutions.com,Marketplace,Advertising,Active
startup_111,"Yoder, Ramsey and Armstrong",Reduced secondary hardware generate collaborative interfaces,E-commerce,Nashville,2014-06-28,Pre-seed,457,"https://yoder,ramseyandarmstrong.com",B2B,Advertising,Active
startup_112,"Cruz, Reed and Mack",Object-based dedicated analyzer scale ubiquitous vortals,HealthTech,Chicago,2024-07-11,Series C,282,"https://cruz,reedandmack.com",Marketplace,Advertising,Active
startup_113,FusionHub,Devolved systemic core streamline seamless markets,MarTech,Phoenix,2015-04-18,Growth,250,https://fusionhub.com,B2C,Freemium,Active
startup_114,Walker-Drake,Robust tertiary conglomeration repurpose impactful bandwidth,MarTech,Denver,2019-10-17,Seed,463,https://walker-drake.com,Platform,Advertising,IPO
startup_115,QuantumLabs,Managed secondary matrix monetize leading-edge eyeballs,MarTech,Washington DC,2014-07-27,Series B,325,https://quantumlabs.com,Marketplace,Advertising,Active
startup_116,SmartSystems,Organized neutral neural-net transition end-to-end synergies,HealthTech,Portland,2025-03-17,Series C,75,https://smartsystems.com,B2B2C,Commission,Active
startup_117,SecureNetwork,Face-to-face reciprocal initiative maximize interactive convergence,PropTech,Portland,2024-02-29,Series A,332,https://securenetwork.com,Marketplace,Transaction,Active
startup_118,Williams-Townsend,Centralized homogeneous portal architect robust mindshare,HealthTech,Portland,2013-11-20,Series B,135,https://williams-townsend.com,B2C,Advertising,Active
startup_119,SecureHub,Re-engineered user-facing customer loyalty generate mission-critical ROI,InsurTech,Boston,2012-06-29,Pre-seed,254,https://securehub.com,B2C,SaaS,Active
startup_120,Green PLC,Triple-buffered executive software empower compelling platforms,InsurTech,Chicago,2018-12-13,Series C,10,https://greenplc.com,B2C,Commission,Active
startup_121,Crawford,Integrated directional paradigm revolutionize one-to-one niches,InsurTech,Atlanta,2012-06-10,Seed,145,https://crawford.com,Marketplace,SaaS,Active
startup_122,SecureCore,Persevering object-oriented support transform interactive markets,LegalTech,New York,2025-03-09,Series A,467,https://securecore.com,B2B,Commission,Active
startup_123,QuantumSystems,Right-sized discrete knowledge user deploy proactive paradigms,FoodTech,Atlanta,2019-02-03,Series A,354,https://quantumsystems.com,Platform,Advertising,Active
startup_124,GlobalEngine,Public-key 5thgeneration encoding revolutionize next-generation e-tailers,SaaS,Nashville,2015-06-19,Growth,25,https://globalengine.com,B2B,Freemium,Active
startup_125,DigitalAnalytics,Balanced exuding definition target granular interfaces,IoT,San Francisco,2012-04-15,Series B,40,https://digitalanalytics.com,B2B,Commission,Active
startup_126,"Callahan, Johnston and Sanchez",Horizontal tertiary product drive ubiquitous web services,Cybersecurity,Atlanta,2012-03-18,Series A,389,"https://callahan,johnstonandsanchez.com",Marketplace,Freemium,Active
startup_127,ApexNetwork,Ergonomic regional contingency architect frictionless users,EdTech,Atlanta,2015-07-16,Seed,170,https://apexnetwork.com,B2B,SaaS,Active
startup_128,Stokes Group,Customer-focused holistic open system deliver dot-com experiences,SaaS,Phoenix,2025-04-06,Series A,310,https://stokesgroup.com,B2B,Freemium,Active
startup_129,MetaTechnologies,Horizontal discrete info-mediaries empower out-of-the-box eyeballs,E-commerce,San Francisco,2012-09-18,Pre-seed,28,https://metatechnologies.com,Platform,Freemium,Active
startup_130,NeuralDynamics,Stand-alone exuding throughput harness seamless networks,EdTech,Denver,2023-09-30,Series B,28,https://neuraldynamics.com,Platform,Freemium,Active
startup_131,CyberDynamics,Grass-roots secondary project incubate integrated infrastructures,Gaming,Chicago,2013-12-26,Series B,391,https://cyberdynamics.com,B2B,Transaction,Active
startup_132,RapidSystems,Organic bottom-line knowledge user grow revolutionary info-mediaries,FinTech,Miami,2016-01-14,Growth,410,https://rapidsystems.com,B2B2C,Advertising,Active
startup_133,Sims PLC,Intuitive fresh-thinking access engage cross-platform methodologies,EdTech,San Diego,2014-03-22,Series C,48,https://simsplc.com,B2B,SaaS,Active
startup_134,CloudFlow,Cross-group systematic artificial intelligence scale strategic models,EdTech,San Francisco,2023-08-13,Series B,180,https://cloudflow.com,B2B2C,Commission,Active
startup_135,CloudHub,Multi-layered interactive archive morph user-centric schemas,AgriTech,Boston,2019-04-08,Series C,233,https://cloudhub.com,B2B2C,SaaS,Active
startup_136,DataDynamics,Business-focused regional help-desk envisioneer collaborative content,Cybersecurity,Boston,2017-05-25,Series C,66,https://datadynamics.com,B2B,SaaS,Active
startup_137,GlobalNetwork,Visionary attitude-oriented frame matrix real-time solutions,MarTech,Austin,2022-10-07,Series C,73,https://globalnetwork.com,B2B,Transaction,Active
startup_138,ApexLogic,Fundamental transitional intranet evolve world-class niches,E-commerce,Los Angeles,2023-09-04,Series A,157,https://apexlogic.com,B2B2C,Transaction,IPO
startup_139,VertexLogic,Enterprise-wide logistical application synthesize user-centric mindshare,InsurTech,Philadelphia,2019-02-28,Seed,197,https://vertexlogic.com,B2C,SaaS,Active
startup_140,"Horne, Li and Meyers",Sharable disintermediate moderator whiteboard transparent supply-chains,MarTech,Denver,2016-01-24,Growth,159,"https://horne,liandmeyers.com",B2C,Commission,Active
startup_141,CloudLabs,Re-contextualized grid-enabled policy envisioneer intuitive methodologies,HRTech,Washington DC,2019-08-25,Series A,385,https://cloudlabs.com,B2B,Transaction,Active
startup_142,CyberLabs,Face-to-face systemic concept extend intuitive e-services,LegalTech,Washington DC,2016-03-29,Series A,101,https://cyberlabs.com,B2B2C,Advertising,Active
startup_143,Washington-Walsh,Down-sized zero-defect benchmark facilitate customized info-mediaries,Blockchain,Portland,2017-05-19,Pre-seed,499,https://washington-walsh.com,B2B,Transaction,Active
startup_144,CyberHub,Team-oriented global neural-net facilitate extensible synergies,EdTech,Los Angeles,2019-10-09,Series C,382,https://cyberhub.com,B2C,Transaction,Active
startup_145,Powell-Johnson,Switchable demand-driven collaboration seize holistic relationships,SaaS,San Francisco,2014-12-02,Pre-seed,240,https://powell-johnson.com,B2B2C,Advertising,Active
startup_146,FusionSystems,Multi-layered explicit system engine utilize interactive solutions,FinTech,Nashville,2013-10-27,Series C,415,https://fusionsystems.com,B2B,SaaS,Closed
startup_147,DigitalTechnologies,Optional multimedia Internet solution synergize granular e-markets,FoodTech,Nashville,2021-01-24,Pre-seed,20,https://digitaltechnologies.com,B2B,Transaction,Active
startup_148,"Vega, Contreras and Nelson",Proactive upward-trending complexity expedite visionary e-services,LegalTech,San Francisco,2013-01-15,Series C,15,"https://vega,contrerasandnelson.com",Platform,Advertising,Active
startup_149,"Long, Adams and Jackson",Cross-platform needs-based Internet solution unleash real-time channels,E-commerce,Boston,2021-11-15,Series C,369,"https://long,adamsandjackson.com",B2B2C,Advertising,Active
startup_150,PrimeLogic,Reactive heuristic core orchestrate distributed interfaces,HRTech,Boston,2012-04-07,Series A,305,https://primelogic.com,B2B,Transaction,Active
startup_151,Hunt Group,Networked attitude-oriented system engine repurpose open-source paradigms,AgriTech,Washington DC,2023-06-04,Growth,27,https://huntgroup.com,B2B,Commission,Active
startup_152,"Turner, Norris and Lopez",Reverse-engineered demand-driven contingency morph revolutionary methodologies,CleanTech,San Diego,2018-07-29,Series A,480,"https://turner,norrisandlopez.com",B2C,Advertising,Acquired
startup_153,GlobalCore,Managed solution-oriented access mesh transparent platforms,EdTech,Seattle,2019-02-08,Series C,224,https://globalcore.com,Marketplace,Freemium,Active
startup_154,Chang-Garrett,Total systematic secured line implement bleeding-edge portals,LegalTech,Washington DC,2022-05-10,Seed,444,https://chang-garrett.com,B2C,Commission,Active
startup_155,"Mueller, Lopez and Lawson",Pre-emptive next generation workforce optimize compelling deliverables,AgriTech,Seattle,2018-08-08,Series B,326,"https://mueller,lopezandlawson.com",B2B,Freemium,Closed
startup_156,DataFlow,Fully-configurable homogeneous Graphical User Interface engage revolutionary e-markets,FinTech,Philadelphia,2016-09-22,Series C,412,https://dataflow.com,Marketplace,Transaction,Active
startup_157,ApexFlow,Mandatory dynamic attitude facilitate world-class methodologies,Cybersecurity,Dallas,2013-07-15,Seed,263,https://apexflow.com,B2C,Transaction,Active
startup_158,CloudPlatform,Re-engineered asymmetric forecast monetize transparent e-commerce,IoT,Los Angeles,2011-09-10,Series C,401,https://cloudplatform.com,B2B,Advertising,Active
startup_159,Douglas-Rivera,Streamlined secondary forecast incubate collaborative channels,LegalTech,Denver,2024-08-25,Growth,221,https://douglas-rivera.com,B2B2C,Advertising,Active
startup_160,InfiniteSolutions,Operative human-resource adapter maximize end-to-end e-services,MarTech,Phoenix,2024-06-01,Pre-seed,208,https://infinitesolutions.com,Platform,Commission,Active
startup_161,FusionSolutions,Exclusive asymmetric system engine envisioneer extensible info-mediaries,CleanTech,Seattle,2012-03-31,Series A,487,https://fusionsolutions.com,B2B,Commission,IPO
startup_162,Moreno,Progressive national budgetary management leverage vertical architectures,MarTech,Seattle,2022-07-01,Series B,12,https://moreno.com,B2B2C,Freemium,Active
